Taxonomic Code,ID,Date,Year,Site_long,Shelter,Module #,Side,Location,Settlement_Area,TimeStep,size_class,Cover Code,Max Diameter (mm),Max Orthogonal (mm),Height (mm),Status Code,found,Sector,Lateral,Vertical,Sector_Area,Lateral_Area,Vertical_Area,simple_area_mm_squared,simple_area_cm_squared,area_mm_squared,area_cm_squared,Volume_mm_cubed,Volume_cm_cubed,surface_area_mm,surface_area_cm,larval_output,Column,Row,MD,Skipped,Shrank_stasis,InRange,AboveRange,RLE,MinIn,MinAbove,MinInTime,MinShrink_stasis,MinSkipped
PC,H1006,11/27/18,18,Hanauma Bay,Low,212,N,A2,0.32979565,7,NA,NA,NA,NA,NA,NF,FALSE,TO,O,T,0.149907112,0.170144572,0.299814224,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,2,NA,FALSE,FALSE,FALSE,FALSE,2,1,Inf,6,Inf,Inf
PC,H1008,5/28/19,19,Hanauma Bay,Low,216,N,B3,0.473706479,9,1,3,1,0.991933411,1,NA,TRUE,BI,I,B,0.079450769,0.229357881,0.186259586,0.785398163,0.007853982,0.779062679,0.007790627,3.116250716,0.003116251,9.399436023,0.009399436,-3813.736397,B,3,1,FALSE,FALSE,TRUE,FALSE,1,1,Inf,9,Inf,Inf
PC,H1008,8/27/19,19,Hanauma Bay,Low,216,N,B3,0.443725056,10,NA,NA,NA,NA,NA,NF,FALSE,BI,I,B,0.070456344,0.220363456,0.149157578,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,3,NA,FALSE,FALSE,FALSE,FALSE,2,1,Inf,9,Inf,Inf
MO,H1010,5/21/19,19,Hanauma Bay,Low,212,S,C2,0.455717625,9,1,1,5,3.634703196,1.118721461,NA,TRUE,TI,I,T,0.149907112,0.216990546,0.299814224,19.63495408,0.196349541,14.27344607,0.142734461,63.87204179,0.063872042,92.23945554,0.092239456,-3810.546718,C,2,5,FALSE,FALSE,TRUE,FALSE,1,1,Inf,9,Inf,Inf
MO,H1010,8/27/19,19,Hanauma Bay,Low,212,S,C2,0.437728772,10,NA,NA,NA,NA,NA,NF,FALSE,TI,I,T,0.149907112,0.215491475,0.299814224,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,2,NA,FALSE,FALSE,FALSE,FALSE,2,1,Inf,9,Inf,Inf
PC,H1011,11/27/18,18,Hanauma Bay,High,215,S,A1,0.59363217,7,1,1,2,1.768102695,1,NA,TRUE,TO,O,T,0.149907112,0.296816082,0.299814224,3.141592654,0.031415927,2.777329218,0.027773292,11.10931687,0.011109317,23.67568749,0.023675687,-3813.316761,A,1,2,FALSE,FALSE,TRUE,FALSE,1,1,12,7,Inf,10
PC,H1011,3/12/19,19,Hanauma Bay,High,215,S,D1,0.599628454,8,2,1,6,4.872779831,1.299723905,NA,TRUE,TO,O,T,0.149907112,0.299814224,0.299814224,28.27433388,0.282743339,22.96243398,0.22962434,119.3792974,0.119379297,140.8481728,0.140848173,-3807.632587,D,1,6,FALSE,FALSE,TRUE,FALSE,1,1,12,7,Inf,10
PC,H1011,9/3/19,19,Hanauma Bay,High,215,S,D1,0.539665609,10,4,1,18,14.18681124,4.798446259,NA,TRUE,TO,O,T,0.149907112,0.271706641,0.299814224,254.4690049,2.544690049,200.5613189,2.005613189,3849.530841,3.849530841,1344.936762,1.344936762,-3611.799631,D,1,18,TRUE,FALSE,TRUE,FALSE,1,1,12,7,Inf,10
PC,H1011,12/3/19,19,Hanauma Bay,High,215,S,D1,0.599628454,11,4,1,20,12,4,NA,TRUE,TO,O,T,0.149907112,0.299814224,0.299814224,314.1592654,3.141592654,188.4955592,1.884955592,3015.928947,3.015928947,1256.637061,1.256637061,-3655.56373,D,1,20,FALSE,FALSE,TRUE,FALSE,1,1,12,7,Inf,10
PC,H1011,3/12/20,20,Hanauma Bay,High,215,S,D1,0.599628454,12,5,1,28,26,12,NA,TRUE,TO,O,T,0.149907112,0.299814224,0.299814224,615.7521601,6.157521601,571.769863,5.71769863,27444.95342,27.44495342,4398.229715,4.398229715,-2373.039945,D,1,28,FALSE,FALSE,FALSE,TRUE,2,1,12,7,Inf,10
PR,H1014,5/21/19,19,Hanauma Bay,High,215,N,B2,0.587635885,9,3,1,13,10.24647148,1,NA,TRUE,TI,I,T,0.149907112,0.291944102,0.299814224,132.7322896,1.327322896,104.6182785,1.046182785,418.4731139,0.418473114,500.1545229,0.500154523,-3791.930162,B,2,13,FALSE,FALSE,TRUE,FALSE,1,1,Inf,9,Inf,Inf
PR,H1014,9/3/19,19,Hanauma Bay,High,215,N,B2,0.479702764,10,NA,NA,NA,NA,NA,NF,FALSE,TI,I,T,0.149907112,0.233855095,0.299814224,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,2,NA,FALSE,FALSE,FALSE,FALSE,2,1,Inf,9,Inf,Inf
MPA,H1015,5/21/19,19,Hanauma Bay,High,215,N,C3_4,0.587635885,9,1,1,3,1.911248637,1,NA,TRUE,BI,I,B,0.14203699,0.291944102,0.282574909,7.068583471,0.070685835,4.503273509,0.045032735,18.01309404,0.018013094,36.86264996,0.03686265,-3812.954313,C,3_4,3,FALSE,FALSE,TRUE,FALSE,1,1,Inf,9,Inf,Inf
MPA,H1015,9/3/19,19,Hanauma Bay,High,215,N,C3_4,0.479702764,10,NA,NA,NA,NA,NA,NF,FALSE,BI,I,B,0.083947983,0.233855095,0.176140857,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,3_4,NA,FALSE,FALSE,FALSE,FALSE,2,1,Inf,9,Inf,Inf
MPA,H1016,5/21/19,19,Hanauma Bay,High,215,N,D2_3,0.587635885,9,2,1,7,4.655789585,1,NA,TRUE,BO,O,B,0.140537919,0.290445031,0.282574909,38.48451001,0.3848451,25.59654012,0.255965401,102.3861605,0.10238616,146.3684576,0.146368458,-3808.524727,D,2_3,7,FALSE,FALSE,TRUE,FALSE,1,1,Inf,9,Inf,Inf
MPA,H1016,9/3/19,19,Hanauma Bay,High,215,N,D2_3,0.479702764,10,2,1,10,6.714195295,1,NA,TRUE,BO,O,B,0.092192874,0.242099986,0.176140857,78.53981634,0.785398163,52.73316654,0.527331665,210.9326661,0.210932666,273.7645192,0.273764519,-3802.826035,D,2_3,10,FALSE,FALSE,TRUE,FALSE,1,1,Inf,9,Inf,Inf
MPA,H1016,12/3/19,19,Hanauma Bay,High,215,N,D2_3,0.503687902,11,3,1,11,7.400330532,1,NA,TRUE,BO,O,B,0.125547206,0.275454318,0.219613919,95.03317777,0.950331778,63.93426609,0.639342661,255.7370644,0.255737064,324.8521027,0.324852103,-3800.473804,D,2_3,11,FALSE,FALSE,TRUE,FALSE,1,1,Inf,9,Inf,Inf
PC,H1017,5/21/19,19,Hanauma Bay,High,215,S,A1,0.599628454,9,3,1,12,9.529795536,3.049085082,NA,TRUE,TO,O,T,0.149907112,0.299814224,0.299814224,113.0973355,1.130973355,89.81620694,0.898162069,1095.429027,1.095429027,589.1604268,0.589160427,-3756.389976,A,1,12,FALSE,FALSE,TRUE,FALSE,1,1,Inf,9,Inf,Inf
PC,H1017,9/3/19,19,Hanauma Bay,High,215,S,A1,0.539665609,10,NA,NA,NA,NA,NA,NF,FALSE,TO,O,T,0.149907112,0.271706641,0.299814224,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,1,NA,FALSE,FALSE,FALSE,FALSE,2,1,Inf,9,Inf,Inf
PC,H1018,5/21/19,19,Hanauma Bay,High,215,S,A_B1,0.599628454,9,2,1,6,4.872779831,1.299723905,NA,TRUE,TI,I,T,0.149907112,0.299814224,0.299814224,28.27433388,0.282743339,22.96243398,0.22962434,119.3792974,0.119379297,140.8481728,0.140848173,-3807.632587,A_B,1,6,FALSE,FALSE,TRUE,FALSE,1,1,Inf,9,11,Inf
PC,H1018,9/3/19,19,Hanauma Bay,High,215,S,B1,0.539665609,10,3,1,12,9.529795536,3.049085082,NA,TRUE,TI,I,T,0.149907112,0.269832802,0.299814224,113.0973355,1.130973355,89.81620694,0.898162069,1095.429027,1.095429027,589.1604268,0.589160427,-3756.389976,B,1,12,FALSE,FALSE,TRUE,FALSE,1,1,Inf,9,11,Inf
PC,H1018,12/3/19,19,Hanauma Bay,High,215,S,B1,0.599628454,11,3,1,12,9.529795536,3.049085082,NA,TRUE,TI,I,T,0.149907112,0.299814224,0.299814224,113.0973355,1.130973355,89.81620694,0.898162069,1095.429027,1.095429027,589.1604268,0.589160427,-3756.389976,B,1,12,FALSE,TRUE,TRUE,FALSE,1,1,Inf,9,11,Inf
PC,H102,5/2/17,17,Hanauma Bay,Low,214,S,A1,0.599628454,1,2,NA,8,6.425118399,1.882844297,NA,TRUE,TO,O,T,0.149907112,0.299814224,0.299814224,50.26548246,0.502654825,40.37020952,0.403702095,304.0432751,0.304043275,256.1229151,0.256122915,-3797.937728,A,1,8,FALSE,FALSE,TRUE,FALSE,1,1,2,1,4,Inf
PC,H102,8/8/17,17,Hanauma Bay,Low,214,S,A1,0.599628454,2,5,NA,24,24,7,NA,TRUE,TO,O,T,0.149907112,0.299814224,0.299814224,452.3893421,4.523893421,452.3893421,4.523893421,12666.90158,12.66690158,2865.1325,2.8651325,-3148.887667,A,1,24,FALSE,FALSE,FALSE,TRUE,2,1,2,1,4,Inf
PC,H1020,5/21/19,19,Hanauma Bay,High,215,S,D1,0.599628454,9,2,1,9,7.201287684,2.174404493,NA,TRUE,TO,O,T,0.149907112,0.299814224,0.299814224,63.61725124,0.636172512,50.90290309,0.509029031,442.7340048,0.442734005,326.5712896,0.32657129,-3790.656465,D,1,9,FALSE,FALSE,TRUE,FALSE,1,1,Inf,9,12,11
PC,H1020,12/3/19,19,Hanauma Bay,High,215,S,D1,0.599628454,11,3,1,14,11.0821341,3.632205474,NA,TRUE,TO,O,T,0.149907112,0.299814224,0.299814224,153.93804,1.5393804,121.8544288,1.218544288,1770.401294,1.770401294,806.9231962,0.806923196,-3720.953932,D,1,14,TRUE,FALSE,TRUE,FALSE,1,1,Inf,9,12,11
PC,H1020,3/30/20,20,Hanauma Bay,High,215,S,D1,0.599628454,12,2,1,7,5.648949115,1.591284101,NA,TRUE,TO,O,T,0.149907112,0.299814224,0.299814224,38.48451001,0.3848451,31.05671982,0.310567198,197.6802579,0.197680258,194.2152095,0.194215209,-3803.521786,D,1,7,FALSE,TRUE,TRUE,FALSE,1,1,Inf,9,12,11
PC,H1025,5/28/19,19,Hanauma Bay,High,213,S,B1,0.521676755,9,1,1,2,1.768102695,1,NA,TRUE,TI,I,T,0.149907112,0.264211285,0.299814224,3.141592654,0.031415927,2.777329218,0.027773292,11.10931687,0.011109317,23.67568749,0.023675687,-3813.316761,B,1,2,FALSE,FALSE,TRUE,FALSE,1,1,Inf,9,Inf,Inf
PC,H1025,9/3/19,19,Hanauma Bay,High,213,S,B1,0.503687902,10,NA,NA,NA,NA,NA,NF,FALSE,TI,I,T,0.149907112,0.2465972,0.299814224,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,1,NA,FALSE,FALSE,FALSE,FALSE,2,1,Inf,9,Inf,Inf
PC,H1026,5/28/19,19,Hanauma Bay,High,213,S,D2,0.521676755,9,1,1,5,4.096610547,1.008163708,NA,TRUE,TO,O,T,0.149907112,0.274330016,0.299814224,19.63495408,0.196349541,16.087352,0.16087352,64.8747378,0.064874738,96.02180499,0.096021805,-3810.494076,D,2,5,FALSE,FALSE,TRUE,FALSE,1,1,12,9,Inf,Inf
PC,H1026,9/3/19,19,Hanauma Bay,High,213,S,D2,0.503687902,10,2,2,8,6.425118399,1.882844297,NA,TRUE,TO,O,T,0.149907112,0.256715929,0.299814224,50.26548246,0.502654825,40.37020952,0.403702095,304.0432751,0.304043275,256.1229151,0.256122915,-3797.937728,D,2,8,FALSE,FALSE,TRUE,FALSE,1,1,12,9,Inf,Inf
PC,H1026,12/3/19,19,Hanauma Bay,High,213,S,D2,0.479702764,11,4,1,16,1,4.215325867,NA,TRUE,TO,O,T,0.149907112,0.287821656,0.299814224,201.0619298,2.010619298,12.56637061,0.125663706,211.8853884,0.211885388,474.0362593,0.474036259,-3802.776017,D,2,16,FALSE,FALSE,TRUE,FALSE,1,1,12,9,Inf,Inf
PC,H1026,3/12/20,20,Hanauma Bay,High,213,S,D2,0.599628454,12,5,1,22,14,4,NA,TRUE,TO,O,T,0.149907112,0.299814224,0.299814224,380.1327111,3.801327111,241.9026343,2.419026343,3870.442149,3.870442149,1520.530844,1.520530844,-3610.701787,D,2,22,FALSE,FALSE,FALSE,TRUE,2,1,12,9,Inf,Inf
PC,H103,5/2/17,17,Hanauma Bay,Low,214,S,A1,0.599628454,1,2,NA,8,6.425118399,1.882844297,NA,TRUE,TO,O,T,0.149907112,0.299814224,0.299814224,50.26548246,0.502654825,40.37020952,0.403702095,304.0432751,0.304043275,256.1229151,0.256122915,-3797.937728,A,1,8,FALSE,FALSE,TRUE,FALSE,1,1,3,1,4,Inf
PC,H103,8/8/17,17,Hanauma Bay,Low,214,S,A1,0.599628454,2,4,NA,20,20,5,NA,TRUE,TO,O,T,0.149907112,0.299814224,0.299814224,314.1592654,3.141592654,314.1592654,3.141592654,6283.185307,6.283185307,1884.955592,1.884955592,-3484.032771,A,1,20,FALSE,FALSE,TRUE,FALSE,1,1,3,1,4,Inf
PC,H103,11/14/17,17,Hanauma Bay,Low,214,S,A1,0.599628454,3,5,2,27,26,7,NA,TRUE,TO,O,T,0.149907112,0.299814224,0.299814224,572.5552611,5.725552611,551.3495107,5.513495107,15437.7863,15.4377863,3392.920066,3.392920066,-3003.416219,A,1,27,FALSE,FALSE,FALSE,TRUE,2,1,3,1,4,Inf
PR,H1033,8/27/19,19,Hanauma Bay,Low,216,N,C3,0.443725056,10,1,1,4,3.353960107,1,NA,TRUE,BI,I,B,0.070456344,0.220363456,0.149157578,12.56637061,0.125663706,10.53677643,0.105367764,42.14710573,0.042147106,67.27984696,0.067279847,-3811.687277,C,3,4,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
PR,H1033,11/26/19,19,Hanauma Bay,Low,216,N,C3,0.437728772,11,2,1,6,4.885629301,1,NA,TRUE,BI,I,B,0.059962846,0.209869958,0.13866408,28.27433388,0.282743339,23.02298568,0.230229857,92.09194273,0.092091943,129.7910546,0.129791055,-3809.065173,C,3,6,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
PR,H1033,3/10/20,20,Hanauma Bay,Low,216,N,C3,0.575643316,12,NA,NA,NA,NA,NA,NF,FALSE,BI,I,B,0.139038847,0.288945959,0.279201997,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,3,NA,FALSE,FALSE,FALSE,FALSE,2,1,Inf,10,Inf,Inf
PC,H1034,8/27/19,19,Hanauma Bay,Low,216,N,C2,0.443725056,10,1,1,1,0.991933411,1,NA,TRUE,TI,I,T,0.149907112,0.220363456,0.299814224,0.785398163,0.007853982,0.779062679,0.007790627,3.116250716,0.003116251,9.399436023,0.009399436,-3813.736397,C,2,1,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
PC,H1034,11/26/19,19,Hanauma Bay,Low,216,N,C2,0.437728772,11,NA,NA,NA,NA,NA,NF,FALSE,TI,I,T,0.149907112,0.209869958,0.299814224,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,2,NA,FALSE,FALSE,FALSE,FALSE,2,1,Inf,10,Inf,Inf
MPA,H1037,8/27/19,19,Hanauma Bay,Low,214,N,B1,0.377765926,10,1,1,1,0.538978164,1,NA,TRUE,TI,I,T,0.149907112,0.18738389,0.299814224,0.785398163,0.007853982,0.42331246,0.004233125,1.69324984,0.00169325,7.976435147,0.007976435,-3813.811104,B,1,1,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
MPA,H1037,11/26/19,19,Hanauma Bay,Low,214,N,B1,0.359777073,11,1,1,3,1.911248637,1,NA,TRUE,TI,I,T,0.149907112,0.165272591,0.299814224,7.068583471,0.070685835,4.503273509,0.045032735,18.01309404,0.018013094,36.86264996,0.03686265,-3812.954313,B,1,3,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
MPA,H1037,3/10/20,20,Hanauma Bay,Low,214,N,B1,0.401751064,12,1,3,4,2.597383874,1,NA,TRUE,TI,I,T,0.149907112,0.175766089,0.299814224,12.56637061,0.125663706,8.159922098,0.081599221,32.63968839,0.032639688,57.77242962,0.05777243,-3812.186416,B,1,4,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
MPA,H1039,8/27/19,19,Hanauma Bay,Low,214,N,C1,0.377765926,10,1,3,2,1.225113401,1,NA,TRUE,TI,I,T,0.149907112,0.18738389,0.299814224,3.141592654,0.031415927,1.92440363,0.019244036,7.697614518,0.007697615,20.26398513,0.020263985,-3813.495875,C,1,2,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
MPA,H1039,11/26/19,19,Hanauma Bay,Low,214,N,C1,0.359777073,11,1,1,4,2.597383874,1,NA,TRUE,TI,I,T,0.149907112,0.165272591,0.299814224,12.56637061,0.125663706,8.159922098,0.081599221,32.63968839,0.032639688,57.77242962,0.05777243,-3812.186416,C,1,4,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
MPA,H1039,3/10/20,20,Hanauma Bay,Low,214,N,C1,0.401751064,12,NA,NA,NA,NA,NA,NF,FALSE,TI,I,T,0.149907112,0.175766089,0.299814224,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,1,NA,FALSE,FALSE,FALSE,FALSE,2,1,Inf,10,Inf,Inf
PC,H104,8/8/17,17,Hanauma Bay,Low,214,S,B1,0.599628454,2,3,NA,11,8.753626252,2.757524886,NA,TRUE,TI,I,T,0.149907112,0.299814224,0.299814224,95.03317777,0.950331778,75.62590179,0.756259018,834.1612248,0.834161225,493.0900455,0.493090045,-3770.106536,B,1,11,FALSE,FALSE,TRUE,FALSE,1,1,5,2,10,Inf
PC,H104,11/14/17,17,Hanauma Bay,Low,214,S,B1,0.599628454,3,3,2,14,11.0821341,3.632205474,NA,TRUE,TI,I,T,0.149907112,0.299814224,0.299814224,153.93804,1.5393804,121.8544288,1.218544288,1770.401294,1.770401294,806.9231962,0.806923196,-3720.953932,B,1,14,FALSE,FALSE,TRUE,FALSE,1,1,5,2,10,Inf
PC,H104,2/13/18,18,Hanauma Bay,Low,214,S,B1,0.599628454,4,4,1,18,14.18681124,4.798446259,NA,TRUE,TI,I,T,0.149907112,0.299814224,0.299814224,254.4690049,2.544690049,200.5613189,2.005613189,3849.530841,3.849530841,1344.936762,1.344936762,-3611.799631,B,1,18,FALSE,FALSE,TRUE,FALSE,1,1,5,2,10,Inf
PC,H104,6/5/18,18,Hanauma Bay,Low,214,S,B1,0.491695332,5,5,1,28,15,4,NA,TRUE,TI,I,T,0.149907112,0.23460463,0.299814224,615.7521601,6.157521601,329.8672286,3.298672286,5277.875658,5.277875658,2023.185669,2.023185669,-3536.811528,B,1,28,FALSE,FALSE,FALSE,TRUE,2,1,5,2,10,Inf
PC,H1040,8/27/19,19,Hanauma Bay,Low,214,N,C1,0.377765926,10,1,1,3,2.544271979,1,NA,TRUE,TI,I,T,0.149907112,0.18738389,0.299814224,7.068583471,0.070685835,5.994799618,0.059947996,23.97919847,0.023979198,42.82875439,0.042828754,-3812.641092,C,1,3,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
PC,H1040,11/26/19,19,Hanauma Bay,Low,214,N,C1,0.359777073,11,1,2,5,4.096610547,1.008163708,NA,TRUE,TI,I,T,0.149907112,0.165272591,0.299814224,19.63495408,0.196349541,16.087352,0.16087352,64.8747378,0.064874738,96.02180499,0.096021805,-3810.494076,C,1,5,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
PC,H1040,3/10/20,20,Hanauma Bay,Low,214,N,C1,0.401751064,12,NA,NA,NA,NA,NA,NF,FALSE,TI,I,T,0.149907112,0.175766089,0.299814224,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,1,NA,FALSE,FALSE,FALSE,FALSE,2,1,Inf,10,Inf,Inf
MPA,H1041,8/27/19,19,Hanauma Bay,Low,214,N,D2,0.377765926,10,1,1,5,3.283519111,1,NA,TRUE,TO,O,T,0.149907112,0.193005408,0.299814224,19.63495408,0.196349541,12.8943494,0.128943494,51.57739759,0.051577398,82.99332412,0.082993324,-3811.192187,D,2,5,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
MPA,H1041,11/26/19,19,Hanauma Bay,Low,214,N,D2,0.359777073,11,2,2,6,3.969654348,1,NA,TRUE,TO,O,T,0.149907112,0.164897823,0.299814224,28.27433388,0.282743339,18.7065554,0.187065554,74.82622162,0.074826222,112.5253335,0.112525333,-3809.971623,D,2,6,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
MPA,H1041,3/10/20,20,Hanauma Bay,Low,214,N,D2,0.401751064,12,2,1,9,6.028060058,1,NA,TRUE,TO,O,T,0.149907112,0.208745654,0.299814224,63.61725124,0.636172512,42.60984569,0.426098457,170.4393828,0.170439383,226.9880505,0.226988051,-3804.951932,D,2,9,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
MPA,H1043,8/27/19,19,Hanauma Bay,Low,212,S,A1,0.437728772,10,1,2,5,3.283519111,1,NA,TRUE,TO,O,T,0.149907112,0.218864384,0.299814224,19.63495408,0.196349541,12.8943494,0.128943494,51.57739759,0.051577398,82.99332412,0.082993324,-3811.192187,A,1,5,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
MPA,H1043,11/26/19,19,Hanauma Bay,Low,212,S,A1,0.46171391,11,2,1,8,5.341924822,1,NA,TRUE,TO,O,T,0.149907112,0.234229863,0.299814224,50.26548246,0.502654825,33.56430355,0.335643036,134.2572142,0.134257214,184.5226967,0.184522697,-3806.851496,A,1,8,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
MPA,H1043,3/10/20,20,Hanauma Bay,Low,212,S,A1,0.491695333,12,3,1,13,8.772601006,1,NA,TRUE,TO,O,T,0.149907112,0.235354166,0.299814224,132.7322896,1.327322896,89.56980133,0.895698013,358.2792053,0.358279205,439.9606143,0.439960614,-3795.090342,A,1,13,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
MPA,H1044,8/27/19,19,Hanauma Bay,Low,212,S,A1,0.437728772,10,2,2,7,4.655789585,1,NA,TRUE,TO,O,T,0.149907112,0.218864384,0.299814224,38.48451001,0.3848451,25.59654012,0.255965401,102.3861605,0.10238616,146.3684576,0.146368458,-3808.524727,A,1,7,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
MPA,H1044,11/26/19,19,Hanauma Bay,Low,212,S,A1,0.46171391,11,3,1,11,7.400330532,1,NA,TRUE,TO,O,T,0.149907112,0.234229863,0.299814224,95.03317777,0.950331778,63.93426609,0.639342661,255.7370644,0.255737064,324.8521027,0.324852103,-3800.473804,A,1,11,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
MPA,H1044,3/10/20,20,Hanauma Bay,Low,212,S,A1,0.491695333,12,3,1,13,8.772601006,1,NA,TRUE,TO,O,T,0.149907112,0.235354166,0.299814224,132.7322896,1.327322896,89.56980133,0.895698013,358.2792053,0.358279205,439.9606143,0.439960614,-3795.090342,A,1,13,FALSE,FALSE,TRUE,FALSE,1,1,Inf,10,Inf,Inf
