Year,Month,Day,Date,Start,End,TimeStep,Site,Treat1,Treat2,Reef,Obs1,Obs2,Species,1,2,3,4,5,6,7,8,9,10,12.5,15,17.5,20,22.5,25,27.5,30,35,40,45,50,100,>100,Tot,Notes
2018,5,20,5/20/18,,,5,WAI,OPE,,113,ED,MH,CACA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2018,5,20,5/20/18,1059,,5,WAI,CLO,,114,ED,MH,NABR,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2018,5,20,5/20/18,1059,,5,WAI,CLO,,114,ED,MH,ACOL,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2018,5,20,5/20/18,1040,1057,5,WAI,OPE,,115,ED,MH,ACNI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2018,5,20,5/20/18,,1037,5,WAI,CLO,,116,ED,MH,ACTR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2018,9,1,9/1/18,,1432,6,WAI,CLO,,112,ED,CH,NABR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2018,9,1,9/1/18,1201,1218,6,WAI,OPE,,113,ED,CH,ZEFL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2018,9,1,9/1/18,1133,1157,6,WAI,OPE,,115,ED,CH,ACNI,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
2018,12,8,12/8/18,,,7,WAI,OPE,,115,ED,RC,ACNI,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
2018,12,8,12/8/18,,,7,WAI,OPE,,115,ED,RC,SCRU,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2018,12,8,12/8/18,,,7,WAI,CLO,,116,ED,RC,SCPS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2019,3,22,3/22/19,1207,,8,WAI,CLO,,112,ED,LTR,SCRU,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2019,3,22,3/22/19,,,8,WAI,CLO,,114,ED,LTR,ACOL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2019,3,22,3/22/19,,,8,WAI,OPE,,115,ED,LTR,ACNI,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
2019,6,3,6/3/19,,1322,9,WAI,OPE,,115,ED,RC,SCPS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
2019,6,3,6/3/19,,1322,9,WAI,OPE,,115,ED,RC,ACNI,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
2019,9,15,9/15/19,,1142,10,WAI,OPE,,111,ED,RC,ACNR,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2019,9,15,9/15/19,,1142,10,WAI,OPE,,111,ED,RC,ACOL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2019,9,15,9/15/19,,,10,WAI,OPE,,113,ED,RC,ACNI,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
2019,9,15,9/15/19,1034,1045,10,WAI,CLO,,116,ED,RC,NAUN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2019,12,14,12/14/19,1238,1300,11,WAI,OPE,,111,MH,DE,ACNI,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2019,12,14,12/14/19,1043,1100,11,WAI,OPE,,113,MH,DE,ACNI,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
2020,2,17,2/17/20,1413,1427,12,WAI,OPE,,113,ED,DE,ACNI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2020,2,17,2/17/20,1437,1448,12,WAI,OPE,,111,ED,DE,ACNI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2020,2,22,2/22/20,,1053,12,WAI,OPE,,115,ED,.,NABR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
