Year,Month,Day,Date,Start,End,TimeStep,Site,Treat1,Treat2,Reef,Obs1,Obs2,Species,1,2,3,4,5,6,7,8,9,10,12.5,15,17.5,20,22.5,25,27.5,30,35,40,45,50,100,>100,Tot,Notes
2018,8,28,8/28/18,933,943,6,HAN,OPE,,215,ED,NA,ACDU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
2018,8,28,8/28/18,933,943,6,HAN,OPE,,215,ED,NA,ACNI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2018,12,4,12/4/18,1248,,7,HAN,OPE,,213,ED,RC,ACNI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2018,12,4,12/4/18,1409,,7,HAN,CLO,,214,ED,RC,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018,12,4,12/4/18,1321,,7,HAN,OPE,,215,ED,RC,ACDU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
2018,12,4,12/4/18,1321,,7,HAN,OPE,,215,ED,RC,ACNI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2019,3,19,3/19/19,1006,1021,8,HAN,OPE,,213,ED,RJ,ACNI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2019,3,19,3/19/19,1023,,8,HAN,CLO,,214,ED,RJ,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019,3,19,3/19/19,951,1004,8,HAN,OPE,,215,ED,RJ,ACNI,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2019,3,19,3/19/19,951,1004,8,HAN,OPE,,215,ED,RJ,ACDU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
2019,6,4,6/4/19,932,948,9,HAN,OPE,,215,ED,RC,ACNI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2019,6,4,6/4/19,932,948,9,HAN,OPE,,215,ED,RC,ACDU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
2019,9,10,9/10/19,1055,1100,10,HAN,CLO,,214,ED,MH,CTST,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ON/OFF
2019,9,10,9/10/19,,,10,HAN,OPE,,215,ED,MH,CHSP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2019,12,10,12/10/19,1410,1417,11,HAN,CLO,,212,ED,EB,CHSP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2020,3,17,3/17/20,13:35,13:39,12,HAN,CLO,,212,EB,DE,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
